南投縣信義鄉,台18線107.5K(對高岳營林區31林班446號、新高口)_新高口,C1I44
高雄市桃源區,(荖濃溪事業區99林班)_小關山,C1V22
嘉義縣大埔鄉,永樂村1鄰內灣仔2號_馬頭山,C0M41
屏東縣新園鄉,仙吉村店口路116號(新園消防分隊)_新園,C0R56
嘉義縣阿里山鄉,山美村(原阿里山鄉農會山美辦事處)_山美,C0M83
花蓮縣萬榮鄉,西林村23號 - 第9河川局_西林,01T56
臺南市東山區,高原村北寮路78號 - 第5河川局_北寮,01O20
屏東縣三地門鄉,口社村信義巷58號(口社國小) - 第7河川局_古夏,01Q61
彰化縣埔心鄉,舊館村員鹿路四段201號(舊館國小)_埔心,C0G81
屏東縣南州鄉,溪南村人和路241號(南州消防分隊)_南州,C0R58
屏東縣萬丹鄉,新庄村新鐘路410號 - 第7河川局_新庄國小,O1R62
彰化縣田尾鄉,中正路二段101號(仁豐國小)_田尾,C0G82
苗栗縣泰安鄉,象鼻村1鄰13號(象鼻派出所) - 第3河川局_象鼻(1),01E06
南投縣信義鄉,玉山北峰1號_玉山,46755
新竹縣五峰鄉,花園93號 - 水保局_花園派出所,81D66
花蓮縣萬榮鄉,台16線12K_大觀,C1T94
高雄市小港區,水庫段96-1號(鳳山給水廠)_鳳森,C0V45
臺中市和平區,(八仙山事業區49林班、原山苗圃觀測坪附近)_稍來,C1F89
嘉義縣阿里山鄉,豐山村 - 水保局_豐山,81M02
高雄市桃源區,樟山段18地號(梅山口游客中心附近)_梅山,C1V20
屏東縣東港鎮,豐漁街66號(國立東水)_東港,C0R43
南投縣信義鄉,郡大林道32K附近(巒大事業區131林班、望鄉山三角點)_望鄉山,C1I45
屏東縣萬丹鄉,萬安村和平東路69號(萬丹消防分隊)_萬丹,C0R51
臺南市白河區,崎內里12號(鹿寮水庫)_鹿寮,C0X30
臺南市白河區,(大棟山三角點)_大棟山,C1O87
高雄市茂林區,萬山段710地號_萬山,C0V79
花蓮縣壽豐鄉,水璉村_水璉,C0T9F
高雄市美濃區,合和里美中路260號 - 第7河川局_美濃(2),01P77
高雄市新興區,大同一路231號(大同國小)_新興,C0V49
臺南市白河區,關嶺里94-3號(關嶺國小) - 第5河川局_關子嶺(2),01O07
高雄市茂林區,多納巷4號 - 第7河川局_多納(1),O1V55
高雄市美濃區,福安里中山路二段204巷65號(美濃區福安國小後)_美濃,C0V31
嘉義縣番路鄉,公興村龍美地區(原瀨頭)_龍美,C1M39
花蓮縣壽豐鄉,(月眉山附近)_月眉山,C0T9A
彰化縣田中鎮,中州路一段177號(田中國小)_田中,C0G85
花蓮縣壽豐鄉,壽豐村壽山路19號(壽豐國小)_壽豐,C1T89
臺南市白河區,關嶺里94-3號(仙草國小關嶺分校)_關子嶺,C0X24
花蓮縣秀林鄉,原水源段(苗圃)_水源,C0T9B
嘉義縣番路鄉,阿里山公路23K興社產業道路底_頭凍,C1M60
嘉義縣竹崎鄉,緞繻村樟腦寮31號 - 第5河川局_樟腦寮(2),01L48
高雄市苓雅區,三多一路162號(苓雅消防分隊)_苓雅,C0V71
南投縣信義鄉,神木村(對高岳營林區29林班444號、神木工作分站後山)_神木村,C0H9A
花蓮縣壽豐鄉,池南村池南路一段8號(鯉魚潭風景區旁)_鯉魚潭,C0T87
嘉義縣水上鄉,三鎮村三鎮路119號(水上消防分隊)_水上,C0M69
苗栗縣卓蘭鎮,中山路127號(卓蘭鎮公所)_卓蘭,C0E79
嘉義縣朴子市,竹村里36號(竹村國小)_朴子,C0M65
苗栗縣泰安鄉,象鼻村_象鼻,C1E45
高雄市大寮區,鳳林三路492號(大寮區公所)_大寮,C0V73
花蓮縣壽豐鄉,溪口村溪口路87號 - 水保局_溪口國小,81T85
花蓮縣吉安鄉,吉安村吉安路二段97號(吉安國小)_吉安,C1T85
臺中市和平區,達觀里東崎路一段育英巷6號 - 水保局_達觀國小,81F91
屏東縣獅子鄉,內獅村1號 - 水保局_內獅國小,81R66
雲林縣水林鄉,松中村蔦松路213號(蔦松國小)_蔦松,C0K55
高雄市左營區,左營大路1號(市立海青高工)_左營,C0V81
南投縣信義鄉,台21線(新興橋附近)_新興橋,C1I34
高雄市鳳山區,文山路園藝巷4號(鳳山熱帶園藝試驗分所)_鳳山,C0V44
臺南市龍崎區,中坑里5鄰13號_崎頂,C0O96
臺中市和平區,(小雪山山莊) - 第3河川局_雪嶺,01F35
