嘉義縣溪口鄉,C0M660,1001006,23.6041,120.4036
嘉義縣新港鄉,C0M790,1001007,23.5533,120.3457
嘉義縣六腳鄉,C0M740,1001008,23.4929,120.2906
嘉義縣東石鄉,C0M710,1001009,23.4589,120.1539
嘉義縣義竹鄉,C0M520,1001010,23.3699,120.2481
嘉義縣鹿草鄉,C0M780,1001011,23.4113,120.3084
嘉義縣水上鄉,C0M690,1001012,23.4197,120.3889
嘉義縣中埔鄉,C0M640,1001013,23.4254,120.5229
嘉義縣竹崎鄉,C0M530,1001014,23.4939,120.6993
嘉義縣梅山鄉,C0M770,1001015,23.5854,120.5556
嘉義縣番路鄉,C0M720,1001016,23.4647,120.5542
嘉義縣大埔鄉,C0M410,1001017,23.3244,120.5820
嘉義縣阿里山鄉,,1001018,23.4496199,120.7997884
臺南市新營區,C0X250,6700100,23.3107,120.3167
臺南市鹽水區,C0X230,6700200,23.2726,120.2476
臺南市白河區,C0X210,6700300,23.2270,120.2563
臺南市柳營區,C0X270,6700400,23.2572,120.3736
臺南市後壁區,C0X260,6700500,23.3664,120.3623
臺南市東山區,C0X050,6700600,23.2966,120.3856
臺南市麻豆區,C0X120,6700700,23.1833,120.2486
臺南市下營區,C0X060,6700800,23.2270,120.2563
臺南市六甲區,C0O840,6700900,23.2213,120.3995
臺南市官田區,C0X130,6701000,23.1932,120.3154
臺南市大內區,C0O860,6701100,23.1201,120.3615
臺南市佳里區,C0X080,6701200,23.1730,120.1451
臺南市學甲區,C0X220,6701300,23.2304,120.1822
臺南市西港區,C0X140,6701400,23.1256,120.2031
臺南市七股區,467780,6701500,23.1470,120.0862
臺南市將軍區,C0X280,6701600,23.2150,120.1358
臺南市北門區,C1X070,6701700,23.2682,120.1249
臺南市新化區,C0O970,6701800,23.0214,120.3479
臺南市善化區,C0O900,6701900,23.1129,120.2972
臺南市新市區,C0O980,6702000,23.0616,120.2982
臺南市安定區,C0X150,6702100,23.1026,120.2278
臺南市山上區,C0X180,6702200,23.0757,120.3633
臺南市玉井區,C0O930,6702300,23.1260,120.4606
臺南市楠西區,C0O810,6702400,23.2197,120.4973
臺南市南化區,C0O830,6702500,23.0796,120.4950
臺南市左鎮區,C0X200,6702600,23.0568,120.4085
臺南市仁德區,C0X160,6702700,22.9683,120.2577
臺南市歸仁區,C0O990,6702800,22.9918,120.2935
臺南市關廟區,C0X170,6702900,22.9630,120.3278
臺南市龍崎區,C0O960,6703000,22.9595,120.3693
臺南市永康區,467420,6703100,23.0384,120.2367
臺南市東區,,6703200,22.98058275,120.2303192
臺南市南區,C0X110,6703300,22.9612,120.1884
臺南市北區,C0X100,6703400,23.0104,120.1942
臺南市安南區,C0O950,6703500,23.0767,120.1449
臺南市安平區,C0X190,6703600,22.9932,120.1522
臺南市中西區,467410,6703700,22.9932,120.2048
高雄市鹽埕區,,6400100,22.62549105,120.28373935
高雄市鼓山區,C0V690,6400200,22.6233,120.2756
高雄市左營區,C0V430,6400300,22.6779,120.2937
高雄市楠梓區,C0V670,6400400,22.7198,120.2860
高雄市三民區,C0V700,6400500,22.6450,120.3112
高雄市新興區,C0V490,6400600,22.6274,120.2988
高雄市前金區,,6400700,22.62700265,120.29404175
高雄市苓雅區,C0V710,6400800,22.6227,120.3307
高雄市前鎮區,467440,6400900,22.5660,120.3157
高雄市旗津區,C0V500,6401000,22.5886,120.2859
高雄市小港區,C0V450,6401100,22.5451,120.3926
高雄市鳳山區,C0V440,6401200,22.6467,120.3561
高雄市林園區,C0V720,6401300,22.5077,120.3945
高雄市大寮區,C0V730,6401400,22.6100,120.4320
高雄市大樹區,C0V350,6401500,22.7386,120.4468
高雄市大社區,C0V770,6401600,22.7303,120.3466
高雄市仁武區,C0V680,6401700,22.7011,120.3477
高雄市鳥松區,,6401800,22.66716645,120.3668409
高雄市岡山區,C0V660,6401900,22.7552,120.2977
高雄市橋頭區,C0V760,6402000,22.7578,120.3058
高雄市燕巢區,C0V400,6402100,22.8042,120.3555
高雄市田寮區,C0V370,6402200,22.8932,120.4019
高雄市阿蓮區,C0V530,6402300,22.8832,120.3275
高雄市路竹區,C0V750,6402400,22.8550,120.2594
高雄市湖內區,C0V640,6402500,22.8871,120.2445
高雄市茄萣區,C0V630,6402600,22.9066,120.1826
高雄市永安區,C0V620,6402700,22.8232,120.2369
高雄市彌陀區,C0V650,6402800,22.7838,120.2464
高雄市梓官區,C0V610,6402900,22.7606,120.2672
高雄市旗山區,C0V740,6403000,22.8886,120.4836
高雄市美濃區,C0V310,6403100,22.8987,120.5192
高雄市六龜區,C0V800,6403200,22.9979,120.6336
高雄市甲仙區,C0V250,6403300,23.0801,120.5918
高雄市杉林區,C0V260,6403400,22.9712,120.5395
高雄市內門區,C0V360,6403500,22.9755,120.4668
高雄市茂林區,C0V790,6403600,22.9059,120.6881
高雄市桃源區,C0V210,6403700,23.2224,120.8061
高雄市那瑪夏區,,6403800,23.27003785,120.7309143
屏東縣屏東市,C0R170,1001301,22.6603,120.4941
